,kde_clusters,kde_clusters_at_cargo,graph_clusters,graph_clusters_at_cargo,potential_strength_r11_r11,potential_strength_cargo_r11,potential_strength_cargo_r11_avidity,kb_temperature_r11,iteration,output_path
169,1.0,0.0,14,14,0.02857142857142857,0.03428571428571429,0.011428571428571429,0.01,50000,out/autophagy/explore_parameter_space_00002967
170,6.0,2.0,10,10,0.011428571428571429,0.0,0.02857142857142857,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00001065
171,,,13,13,0.022857142857142857,0.02857142857142857,0.0,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002373
172,,,16,16,0.02857142857142857,0.02857142857142857,0.005714285714285714,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00002894
173,,,61,61,0.0,0.017142857142857144,0.005714285714285714,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00000204
174,1.0,0.0,11,11,0.022857142857142857,0.011428571428571429,0.02857142857142857,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002219
175,1.0,0.0,5,5,0.005714285714285714,0.017142857142857144,0.017142857142857144,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00000730
176,,,66,66,0.0,0.005714285714285714,0.017142857142857144,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00000092
177,,,49,49,0.0,0.022857142857142857,0.04,0.01,50000,out/autophagy/explore_parameter_space_00000319
178,3.0,2.0,8,8,0.022857142857142857,0.03428571428571429,0.017142857142857144,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002461
179,2.0,0.0,6,6,0.011428571428571429,0.04,0.005714285714285714,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00001482
180,5.0,1.0,91,91,0.0,0.017142857142857144,0.0,0.0,50000,out/autophagy/explore_parameter_space_00000192
181,,,70,70,0.0,0.03428571428571429,0.011428571428571429,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00000404
182,1.0,0.0,6,6,0.005714285714285714,0.02857142857142857,0.0,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00000835
183,,,104,104,0.0,0.03428571428571429,0.02857142857142857,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00000426
184,,,44,44,0.0,0.0,0.04,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00000062
185,1.0,0.0,14,14,0.011428571428571429,0.005714285714285714,0.022857142857142857,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00001123
186,,,42,42,0.0,0.04,0.03428571428571429,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00000502
187,3.0,2.0,6,6,0.022857142857142857,0.03428571428571429,0.017142857142857144,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00002458
188,,,23,23,0.017142857142857144,0.011428571428571429,0.0,0.0,50000,out/autophagy/explore_parameter_space_00001664
189,5.0,2.0,8,8,0.02857142857142857,0.02857142857142857,0.03428571428571429,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00002929
190,,,46,46,0.0,0.017142857142857144,0.02857142857142857,0.01,50000,out/autophagy/explore_parameter_space_00000239
191,5.0,4.0,6,6,0.011428571428571429,0.017142857142857144,0.04,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00001277
192,1.0,0.0,9,9,0.02857142857142857,0.005714285714285714,0.03428571428571429,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00002676
193,4.0,1.0,12,12,0.017142857142857144,0.03428571428571429,0.0,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00001921
194,1.0,0.0,2,2,0.017142857142857144,0.04,0.03428571428571429,0.01,50000,out/autophagy/explore_parameter_space_00002039
195,,,86,86,0.0,0.03428571428571429,0.017142857142857144,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00000411
196,1.0,0.0,20,20,0.022857142857142857,0.022857142857142857,0.011428571428571429,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00002326
197,8.0,7.0,13,13,0.011428571428571429,0.03428571428571429,0.005714285714285714,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00001422
